price;volume_24h;market_cap;last_updated
483588.2663266665;237513109628.23135;9656048707877.713;2025-12-26T18:41:00.000Z
483294.81367613946;237368981127.9996;9650189192078.314;2025-12-26T18:42:00.000Z
483484.69251068844;236633954190.69247;9653980597707.172;2025-12-26T18:42:00.000Z
483484.69251068844;236633954190.69247;9653980597707.172;2025-12-26T18:42:00.000Z
483475.97353406326;236629686825.15375;9653806501541.408;2025-12-26T18:43:00.000Z
483475.97353406326;236629686825.15375;9653806501541.408;2025-12-26T18:43:00.000Z
483475.97353406326;236629686825.15375;9653806501541.408;2025-12-26T18:43:00.000Z
483475.97353406326;236629686825.15375;9653806501541.408;2025-12-26T18:43:00.000Z
483500.8367166705;236886884617.4429;9654302957140.117;2025-12-26T18:43:00.000Z
483500.8367166705;236886884617.4429;9654302957140.117;2025-12-26T18:43:00.000Z
